dataset,method,intensity,model,cer,wer,cer_lower,wer_lower
rimes,jpeg_compression,1,RIMES_awgn,0.039208459728404164,0.11367263699237454,0.03728063958268364,0.10675651711296329
rimes,none,none,RIMES_blur,0.038953307062058795,0.11207660932789501,0.03804609758171973,0.10782053555594964
rimes,awgn,50,RIMES_blur,0.04011566920874323,0.11686469232133356,0.039010007654579994,0.11296329136371697
rimes,awgn,100,RIMES_blur,0.043971309500184276,0.12679553112253947,0.042893998242281635,0.12183011172193652
rimes,awgn,150,RIMES_blur,0.061350041107929576,0.1627948217769108,0.06030108014628753,0.1587160844121298
rimes,awgn,200,RIMES_blur,0.09970799194851586,0.22628125554176273,0.09778017180279534,0.22025181769817342
rimes,awgn,250,RIMES_blur,0.14917925892325576,0.3000532009221493,0.14716638788875344,0.2942010994857244
rimes,blur,1.0,RIMES_blur,0.036798684546253506,0.10711118992729207,0.035863124769653844,0.1026777797481823
rimes,blur,2.0,RIMES_blur,0.037790944915374367,0.10888455399893598,0.0368270348425141,0.10445114381982622
rimes,blur,3.0,RIMES_blur,0.043290902389929976,0.1200567476502926,0.04139143254047005,0.11384997339953892
rimes,blur,4.0,RIMES_blur,0.05868511325943356,0.15357332860436249,0.05661554163241006,0.14647987231778684
rimes,blur,5.0,RIMES_blur,0.09732656706262581,0.220961163326831,0.09449153743656621,0.21386770704025537
rimes,jpeg_compression,10,RIMES_blur,0.037535792249029004,0.10870721759177158,0.03662858276868993,0.10409647100549743
rimes,jpeg_compression,6,RIMES_blur,0.03810279817424092,0.10977123603475794,0.03733734017520483,0.10604717148430573
rimes,jpeg_compression,3,RIMES_blur,0.03858475321067105,0.11331796417804575,0.037734244322853175,0.10923922681326477
rimes,jpeg_compression,1,RIMES_blur,0.03949196269101012,0.11491399184252526,0.038471352025628666,0.10977123603475794
rimes,none,none,RIMES_jpeg_compression,0.03600487625095682,0.10604717148430573,0.03487086440053298,0.10179109771236035
rimes,awgn,50,RIMES_jpeg_compression,0.038556402914410454,0.1143819826210321,0.03722393899016245,0.10994857244192233
rimes,awgn,100,RIMES_jpeg_compression,0.043375953278711764,0.12697286752970385,0.042241941428287924,0.12165277531477212
rimes,awgn,150,RIMES_jpeg_compression,0.05689904459501602,0.1587160844121298,0.05590678422589516,0.1548146834545132
rimes,awgn,200,RIMES_jpeg_compression,0.09253536699458509,0.2188331264408583,0.09066424744138576,0.21351303422592657
rimes,awgn,250,RIMES_jpeg_compression,0.14359425055991834,0.30572796595140983,0.14141127774785248,0.29952119170065616
rimes,blur,1.0,RIMES_jpeg_compression,0.037252289286423046,0.11012590884908671,0.035863124769653844,0.1046284802269906
rimes,blur,2.0,RIMES_jpeg_compression,0.04193008816942137,0.11987941124312822,0.04054092365265217,0.11509132824968966
rimes,blur,3.0,RIMES_jpeg_compression,0.061491792589232555,0.16244014896258202,0.058316559408045816,0.15392800141869126
rimes,blur,4.0,RIMES_jpeg_compression,0.12428769880645253,0.2743394218833126,0.12003515436736314,0.26405391026777797
rimes,blur,5.0,RIMES_jpeg_compression,0.2577041930088169,0.43553821599574394,0.25319649590338217,0.42649405923036
rimes,jpeg_compression,10,RIMES_jpeg_compression,0.03648683128738695,0.10817520837027841,0.03529611884444193,0.10356446178400426
rimes,jpeg_compression,6,RIMES_jpeg_compression,0.03651518158364755,0.10906189040610037,0.035182717659399544,0.10427380741266182
rimes,jpeg_compression,3,RIMES_jpeg_compression,0.035778073880872056,0.10728852633445646,0.03470076262296941,0.10179109771236035
rimes,jpeg_compression,1,RIMES_jpeg_compression,0.03815949876676211,0.11367263699237454,0.03705383721259887,0.10870721759177158
iam,none,none,iam_awgn,0.05865494841421475,0.28493752892179547,0.05702299070182142,0.28077279037482644
iam,awgn,50,iam_awgn,0.05874251687683098,0.2838192194971464,0.057198127627053875,0.27980873052599103
iam,awgn,100,iam_awgn,0.0630811361609986,0.2892565170445781,0.06144917844860527,0.28486040413388863
iam,awgn,150,iam_awgn,0.07722742325818367,0.3069952182631498,0.07532479938861292,0.30248341817060004
iam,awgn,200,iam_awgn,0.09896032352566551,0.33476014190960973,0.09687460196153357,0.3294770939379917
iam,awgn,250,iam_awgn,0.13673417399057444,0.377178775258368,0.13409915934275887,0.37120160419558845
iam,blur,1.0,iam_awgn,0.05989682842949943,0.28651858707388556,0.05822506687046236,0.2822767237390097
iam,blur,2.0,iam_awgn,0.06534995541969175,0.2943467530464291,0.06354286078206597,0.28952645380225206
iam,blur,3.0,iam_awgn,0.08218698254999363,0.31783125096405984,0.0801569863711629,0.3125867653863952
iam,blur,4.0,iam_awgn,0.12457807922557636,0.3670368656486195,0.12185549611514457,0.36078975782816597
iam,blur,5.0,iam_awgn,0.21496465418418037,0.46325003856239394,0.2115494841421475,0.4566558691963597
iam,jpeg_compression,10,iam_awgn,0.058471850719653544,0.28462902977016813,0.05695134377786269,0.2805799784050594
iam,jpeg_compression,6,iam_awgn,0.059721691504266976,0.28559308961900354,0.058057890714558656,0.28123553910226745
iam,jpeg_compression,3,iam_awgn,0.06325627308623105,0.29091469998457503,0.06155266844987899,0.28678852383155945
iam,jpeg_compression,1,iam_awgn,0.0653897592663355,0.2926114453185254,0.06371799770729843,0.28821533240783587
iam,none,none,iam_blur,0.05844000764233855,0.2841662810427271,0.05680008916061648,0.28000154249575815
iam,awgn,50,iam_blur,0.060207298433320594,0.28462902977016813,0.05848777225831105,0.280541416011106
iam,awgn,100,iam_blur,0.07316743090052223,0.30140367113990435,0.07140810087886894,0.29693043344130804
iam,awgn,150,iam_blur,0.09857820659788562,0.3315209008175228,0.0965322888803974,0.32627641523985806
iam,awgn,200,iam_blur,0.146191567953127,0.3863566250192812,0.14372372946121514,0.3803408915625482
iam,awgn,250,iam_blur,0.21715386574958603,0.4642526608051828,0.21424818494459305,0.4585454265000771
iam,blur,1.0,iam_blur,0.05721404916571137,0.282122474163196,0.055677620685263024,0.27818910997994756
iam,blur,2.0,iam_blur,0.05830467456374984,0.28324078358784516,0.056680677620685266,0.2789603578590159
iam,blur,3.0,iam_blur,0.06328811616354604,0.2908375751966682,0.06166411922048147,0.2868270862255129
iam,blur,4.0,iam_blur,0.07697267863966374,0.30718803023291685,0.07534072092727041,0.30298472929199444
iam,blur,5.0,iam_blur,0.10961183288753025,0.34544192503470617,0.10761367978601452,0.3409301249421564
iam,jpeg_compression,10,iam_blur,0.05812953763851739,0.2841662810427271,0.05648165838746656,0.28004010488971154
iam,jpeg_compression,6,iam_blur,0.06007992612406063,0.28605583834644455,0.0584798114889823,0.2817754126176153
iam,jpeg_compression,3,iam_blur,0.06376576232327093,0.29172451025759677,0.062372627690740035,0.28809964522597564
iam,jpeg_compression,1,iam_blur,0.06708540313335881,0.2942310658645689,0.0655569354222392,0.290451951257134
iam,none,none,iam_jpeg_compression,0.05667271685135652,0.2793459817985501,0.05519997452553815,0.27537405522134817
iam,awgn,50,iam_jpeg_compression,0.059108712265953385,0.2822381613450563,0.05747675455356006,0.2782662347678544
iam,awgn,100,iam_jpeg_compression,0.06897210546427207,0.2961206231682863,0.06717297159597503,0.29133888631806265
iam,awgn,150,iam_jpeg_compression,0.09435899885364922,0.3258136665124171,0.09241657113743472,0.32087768008637974
iam,awgn,200,iam_jpeg_compression,0.13695707553177938,0.3757134042881382,0.13450515857852502,0.36977479561931204
iam,awgn,250,iam_jpeg_compression,0.204902241752643,0.45029307419404596,0.20185326709973253,0.4445858398889403
iam,blur,1.0,iam_jpeg_compression,0.057524519169532544,0.28123553910226745,0.05599605145841294,0.27699367576739164
iam,blur,2.0,iam_jpeg_compression,0.06301745000636862,0.2896421409841123,0.06136957075531779,0.2854774024371433
iam,blur,3.0,iam_jpeg_compression,0.07855687173608457,0.30946321147616845,0.07670997325181506,0.3049514113836187
iam,blur,4.0,iam_jpeg_compression,0.12168035918991212,0.3627178775258368,0.11917271685135651,0.3570106432207311
iam,blur,5.0,iam_jpeg_compression,0.21066583874665648,0.4559617461051982,0.20765666794038976,0.4497146382847447
